"","V1"
"1",c(0.792048583324879, 0.800688255437113, 4804, 1869, 830, 2058)
"2",c(0.994531056997763, 0.996068884219159, 1585, 50, 5, 174)
"3",c(0.935403626922364, 0.940348716004928, 474, 75, 25, 148)
"4",c(0.957080248783762, 0.958061770376936, 3162, 391, 57, 479)
"5",c(0.979350115667409, 0.979689651381334, 705, 56, 14, 237)
"6",c(0.97738476826999, 0.993857493857494, 65, 1, 5, 32)
"7",c(0.974789475298155, 0.977703580040809, 1274, 85, 216, 2779)
"8",c(0.847012486339245, 0.845448887291098, 3194, 1002, 350, 1066)
"9",c(0.964373394397947, 0.959438161381389, 284, 35, 22, 159)
"10",c(0.981163775442264, 0.97697001303781, 714, 53, 12, 113)
"11",c(0.978826494929476, 0.975997511165481, 889, 64, 14, 185)
"12",c(0.839991799302879, 0.833518107908352, 560, 178, 38, 116)
"13",c(0.882319434951014, 0.96, 19, 6, 0, 12)
"14",c(0.958842282840379, 0.959739539580432, 4621, 567, 93, 711)
"15",c(0.991661032228984, 0.970170454545455, 15, 1, 1, 21)
"16",c(0.97439605244523, 0.981535508056958, 357, 31, 20, 321)
"17",c(0.985933048433049, 0.927272727272727, 10, 1, 0, 5)
"18",c(0.988802798887707, 0.996607869742198, 20, 2, 2, 65)
"19",c(0.99544542178133, 0.998070219123506, 980, 24, 10, 486)
"20",c(0.969551648017051, 0.947368421052632, 32, 6, 3, 30)
"21",c(0.958672235774436, 0.967395104895105, 763, 95, 11, 149)
"22",c(0.991596638655462, 0.961538461538462, 25, 1, 0, 1)
"23",c(0.925512608951889, 0.924542424701491, 5924, 1160, 138, 682)
"24",c(0.962703814013224, 0.96472972972973, 400, 50, 46, 472)
"25",c(0.975618950334842, 0.981058309037901, 1963, 137, 24, 466)
"26",c(0.931121869015669, 0.93901558193584, 26582, 4113, 489, 3149)
"27",c(0.76363085109646, 0.765099622066718, 3850, 1710, 552, 1205)
"28",c(0.983557970574545, 0.995544554455446, 99, 2, 5, 55)
"29",c(0.97268784360756, 0.968421737173454, 1814, 158, 43, 304)
"30",c(0.927560635899867, 0.922005724350506, 5834, 979, 146, 758)
"31",c(0.935415837206134, 0.940316808448225, 1202, 198, 59, 428)
"32",c(0.988622769411708, 0.994189342403628, 848, 34, 2, 54)
"33",c(0.947316349689726, 0.96039603960396, 91, 10, 6, 61)
"34",c(0.967921464206404, 0.968837921636873, 1280, 146, 138, 1357)
"35",c(0.919715450394181, 0.931856314423929, 5148, 904, 51, 325)
"36",c(0.974240605333043, 0.987878563677617, 401, 35, 2, 91)
"37",c(0.982993902457188, 0.978227756286267, 346, 30, 6, 104)
"38",c(0.979260103398973, 0.983940407163389, 2828, 194, 44, 626)
"39",c(0.968138000943482, 0.974419352615498, 1000, 102, 6, 73)
"40",c(0.933333333333333, 0, 1, 1)
"41",c(0.98469387755102, 1, 10, 0, 0, 2)
"42",c(0.956853612017465, 0.968312440511148, 1325, 149, 24, 311)
"43",c(0.981027667984189, 1, 14, 1, 0, 18)
"44",c(0.945467552234949, 0.947727590219922, 2931, 420, 70, 479)
"45",c(0.990918716697151, 0.995601851851852, 521, 19, 0, 12)
"46",c(0.958722229048386, 0.958285361062443, 3269, 445, 149, 1271)
"47",c(0.979113752192732, 0.984198240362896, 4507, 301, 10, 169)
"48",c(0.977542303599141, 0.983842641376888, 106, 11, 5, 68)
"49",c(0.949885555450685, 0.952688906516247, 645, 87, 21, 165)
"50",c(0.817390715315519, 0.823031478302966, 19642, 7238, 2131, 5984)
"51",c(0.963708627691414, 0.971546475867696, 522, 43, 24, 258)
"52",c(0.977087039289472, 0.981294144452039, 1262, 103, 12, 197)
"53",c(0.985843718602974, 0.986310038793009, 10534, 655, 55, 1109)
"54",c(0.918694971821472, 0.922917542082266, 6936, 1400, 306, 1311)
"55",c(0.965413642326935, 0.969110905159098, 6200, 625, 34, 381)
